,pet_id,primary_breed,mixed_breed,age,gender,shelter_name,num_photos,pet_location,adoption_fee
3967,73716414,Boxer,True,Young,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3968,73716419,Boxer,True,Young,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3969,73716420,Boxer,True,Adult,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3970,73716423,German Shepherd Dog,True,Adult,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3971,73716424,Labrador Retriever,True,Baby,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3972,73716426,Labrador Retriever,True,Adult,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3973,73716428,Portuguese Water Dog,True,Baby,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3974,73716429,Labrador Retriever,True,Adult,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3975,73716431,Siberian Husky,True,Adult,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3976,73716432,Labrador Retriever,True,Baby,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3977,73716434,Labrador Retriever,True,Adult,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3978,73716436,Labrador Retriever,True,Baby,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3979,73716437,Golden Retriever,True,Young,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3980,73716440,Boxer,True,Adult,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3981,73716444,Anatolian Shepherd,True,Young,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3982,73716445,American Staffordshire Terrier,True,Young,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3983,73716448,Pit Bull Terrier,True,Young,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3984,73716450,Labrador Retriever,True,Baby,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3985,73716451,Boxer,True,Adult,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3986,73716452,Black Mouth Cur,True,Young,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3987,73717109,Mixed Breed,True,Baby,Male,Butts County Humane Society aka Butts Mutts,3,"Jackson, GA",250.0
3988,73717110,Mixed Breed,True,Baby,Female,Butts County Humane Society aka Butts Mutts,4,"Jackson, GA",250.0
3989,73717721,Catahoula Leopard Dog,False,Young,Female,Royal Animal Refuge,5,"Tyrone, GA",
3990,73717722,Catahoula Leopard Dog,False,Young,Male,Royal Animal Refuge,5,"Tyrone, GA",
3991,73719734,Jack Russell Terrier,True,Senior,Female,Pup & Cat Co.,3,"Winder, GA",100.0
3992,73719735,Jack Russell Terrier,True,Senior,Male,Pup & Cat Co.,2,"Winder, GA",100.0
3993,73720519,Shepherd,False,Young,Male,Barrow County Animal Control,0,"Winder, GA",
3994,73720664,Siberian Husky,False,Young,Female,Douglas County Animal Shelter,6,"Douglasville, GA",
3995,73720711,Pit Bull Terrier,True,Young,Male,Walton County Animal Control,4,"Monroe, GA",50.0
3996,73720774,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,2,"Chamblee, GA",
3997,73720879,Yorkshire Terrier,True,Young,Female,Walton County Animal Control,1,"Monroe, GA",50.0
3998,73721254,Mountain Cur,False,Baby,Female,Circle of Friends Animal Society Inc.,2,"Greensboro, GA",195.0
3999,73721454,Chihuahua,True,Baby,Female,Circle of Friends Animal Society Inc.,5,"Greensboro, GA",195.0
4000,73721994,Siberian Husky,True,Adult,Male,Fulton County Animal Services,0,"Atlanta, GA",
4001,73721995,Shepherd,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
4002,73722396,American Bulldog,True,Adult,Male,Rescuing Rescues,3,"Smyrna, GA",200.0
4003,73722576,German Shepherd Dog,False,Young,Male,Rescuing Rescues,3,"Smyrna, GA",200.0
4004,73722776,American Staffordshire Terrier,False,Young,Female,Rescuing Rescues,3,"Smyrna, GA",200.0
4005,73722918,Pit Bull Terrier,True,Adult,Female,Walton County Animal Control,4,"Monroe, GA",50.0
4006,73722974,Mixed Breed,True,Young,Female,LifeLine Animal Project,1,"Atlanta, GA",
4007,73723005,Boxer,False,Adult,Male,Walton County Animal Control,4,"Monroe, GA",50.0
4008,73723435,Black Labrador Retriever,False,Baby,Female,Coco's Cupboard,1,"Peachtree City, GA",
4009,73723567,German Shepherd Dog,False,Adult,Male,Walton County Animal Control,4,"Monroe, GA",50.0
4010,73723615,Mountain Cur,True,Baby,Female,Circle of Friends Animal Society Inc.,2,"Greensboro, GA",195.0
4011,73723788,Feist,True,Baby,Female,Circle of Friends Animal Society Inc.,2,"Greensboro, GA",195.0
4012,73724402,Labrador Retriever,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
4013,73724403,Labrador Retriever,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
4014,73724404,Schnauzer,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
4015,73724406,Rottweiler,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
4016,73724407,Mixed Breed,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
4017,73724408,Labrador Retriever,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
4018,73724409,Mixed Breed,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
4019,73724410,Mixed Breed,True,Adult,Male,Fulton County Animal Services,3,"Atlanta, GA",
4020,73724411,Labrador Retriever,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
4021,73724994,Hound,False,Adult,Male,Barrow County Animal Control,1,"Winder, GA",
4022,73725397,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
4023,73725398,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,3,"Chamblee, GA",
4024,73725399,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,1,"Chamblee, GA",
4025,73725401,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
4026,73725406,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
4027,73725407,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
4028,73725408,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,1,"Chamblee, GA",
4029,73725409,Mixed Breed,True,Young,Male,Dekalb County Animal Services,1,"Chamblee, GA",
4030,73725412,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,3,"Chamblee, GA",
4031,73725423,Mixed Breed,True,Adult,Female,LifeLine Animal Project,3,"Atlanta, GA",
4032,73726029,Black Labrador Retriever,True,Adult,Female,Southern Crescent Canine Rescue,1,"Milner, GA",
4033,73726066,Labrador Retriever,True,Adult,Male,Southern Crescent Canine Rescue,3,"Milner, GA",
4034,73726106,American Bully,True,Baby,Male,Southern Crescent Canine Rescue,3,"Milner, GA",
4035,73726783,Giant Schnauzer,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
4036,73726784,Mixed Breed,True,Senior,Male,Fulton County Animal Services,1,"Atlanta, GA",
4037,73726928,Pit Bull Terrier,True,Adult,Female,Gwinnett County Animal Control and Welfare,3,"Lawrenceville, GA",
4038,73726929,American Bulldog,True,Senior,Male,Gwinnett County Animal Control and Welfare,2,"Lawrenceville, GA",
4039,73726931,Pit Bull Terrier,True,Adult,Male,Gwinnett County Animal Control and Welfare,1,"Lawrenceville, GA",
4040,73726933,Labrador Retriever,True,Adult,Male,Gwinnett County Animal Control and Welfare,3,"Lawrenceville, GA",
4041,73726934,Terrier,True,Adult,Female,Gwinnett County Animal Control and Welfare,2,"Lawrenceville, GA",
4042,73726936,Labrador Retriever,True,Adult,Male,Gwinnett County Animal Control and Welfare,3,"Lawrenceville, GA",
4043,73726938,American Bully,True,Young,Male,Gwinnett County Animal Control and Welfare,2,"Lawrenceville, GA",
4044,73726939,Labrador Retriever,True,Adult,Female,Gwinnett County Animal Control and Welfare,1,"Lawrenceville, GA",
4045,73726942,Poodle,True,Young,Male,Gwinnett County Animal Control and Welfare,1,"Lawrenceville, GA",
4046,73727327,Pit Bull Terrier,True,Adult,Male,Newton County Animal Control,1,"Covington, GA",
4047,73727328,Labrador Retriever,True,Baby,Female,Newton County Animal Control,1,"Covington, GA",
4048,73727330,Pit Bull Terrier,True,Adult,Female,Newton County Animal Control,1,"Covington, GA",
4049,73727332,Pit Bull Terrier,True,Adult,Male,Newton County Animal Control,1,"Covington, GA",
4050,73727333,Pomeranian,True,Adult,Male,Newton County Animal Control,2,"Covington, GA",
4051,73727415,Miniature Pinscher,False,Young,Female,"Min Pins & More Rescue, Inc-KS",4,"Duluth, GA",
4052,73728108,Mixed Breed,True,Young,Female,Madison Oglethorpe Animal Shelter,1,"Danielsville, GA",
4053,73728109,Mixed Breed,True,Young,Male,Madison Oglethorpe Animal Shelter,1,"Danielsville, GA",
4054,73728110,Mixed Breed,True,Adult,Male,Madison Oglethorpe Animal Shelter,1,"Danielsville, GA",
4055,73728111,Mixed Breed,True,Young,Female,Madison Oglethorpe Animal Shelter,1,"Danielsville, GA",
4056,73728516,Pit Bull Terrier,False,Young,Male,Barrow County Animal Control,0,"Winder, GA",
