,pet_id,primary_breed,mixed_breed,age,gender,size,shelter_name,shelter_id,zip_code,num_photos,pet_location,health,adoption_fee,adoption_fee2
86,72247278,Labrador Retriever,True,Adult,Female,Large,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,"WARNER ROBINS, GA","Vaccinations up to date, spayed / neutered, special needs. Ember is a hospice baby. She has a mass in her abdomen. She's heartworm positive. She's currently undergoing treatment. Treatment will be covered by Paws if adopted.",250,250.0
87,71873444,Hound,True,Baby,Male,Large,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,"WARNER ROBINS, GA",Vaccinations up to date.,250,250.0
88,71803609,Pit Bull Terrier,True,Adult,Male,Large,Paws in Middle Georgia Animal Rescue,GA1028,31093,4,"WARNER ROBINS, GA","Vaccinations up to date, spayed / neutered.",150,150.0
89,69123537,Terrier,True,Adult,Female,Medium,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,"WARNER ROBINS, GA","Vaccinations up to date, spayed / neutered, special needs. Blind Heartworm +.",,
90,73604103,Black Labrador Retriever,True,Young,Female,Large,"Humane Society of Houston County, Inc",GA553,31028,1,"Centerville, GA",Vaccinations up to date.,,
91,73589335,Brittany Spaniel,True,Young,Male,Large,"Humane Society of Houston County, Inc",GA553,31028,2,"Centerville, GA",Vaccinations up to date.,,
92,73575673,Dachshund,True,Young,Female,Small,"Humane Society of Houston County, Inc",GA553,31028,2,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
93,73510774,Labrador Retriever,True,Baby,Female,Large,"Humane Society of Houston County, Inc",GA553,31028,4,"Centerville, GA",Vaccinations up to date.,,
94,73510633,Labrador Retriever,True,Baby,Female,Large,"Humane Society of Houston County, Inc",GA553,31028,4,"Centerville, GA",Vaccinations up to date.,,
95,73406310,Jack Russell Terrier,False,Adult,Male,Small,"Humane Society of Houston County, Inc",GA553,31028,3,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
96,73251696,Black Labrador Retriever,True,Young,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,3,"Centerville, GA",Vaccinations up to date.,,
97,72603600,Mixed Breed,False,Baby,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,1,"Centerville, GA",Vaccinations up to date.,,
98,72576278,Mixed Breed,False,Baby,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,4,"Centerville, GA",Vaccinations up to date.,,
99,72576271,Mixed Breed,False,Baby,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,5,"Centerville, GA",Vaccinations up to date.,,
100,72576263,Mixed Breed,False,Baby,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,4,"Centerville, GA",Vaccinations up to date.,,
101,72576253,Mixed Breed,False,Young,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,4,"Centerville, GA",Vaccinations up to date.,,
102,72576242,Labradoodle,False,Young,Female,Large,"Humane Society of Houston County, Inc",GA553,31028,1,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
103,72576235,Mixed Breed,False,Baby,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,5,"Centerville, GA",Vaccinations up to date.,,
104,72576222,Mixed Breed,False,Baby,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,3,"Centerville, GA",Vaccinations up to date.,,
105,72575988,Mixed Breed,False,Baby,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,3,"Centerville, GA",Vaccinations up to date.,,
106,72575293,Labradoodle,False,Adult,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,3,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
107,72575203,Mixed Breed,False,Adult,Male,Small,"Humane Society of Houston County, Inc",GA553,31028,2,"Centerville, GA","Vaccinations up to date, special needs.",,
108,72575173,Mixed Breed,False,Baby,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,5,"Centerville, GA",Vaccinations up to date.,,
109,72575112,Mixed Breed,False,Baby,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,3,"Centerville, GA",Vaccinations up to date.,,
110,72058349,Chihuahua,False,Adult,Male,Small,"Humane Society of Houston County, Inc",GA553,31028,2,"Centerville, GA","Vaccinations up to date, spayed / neutered, special needs.",,
111,71241705,Yellow Labrador Retriever,True,Young,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,1,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
112,71241168,Chihuahua,False,Adult,Female,Small,"Humane Society of Houston County, Inc",GA553,31028,1,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
113,71174457,Mixed Breed,False,Adult,Male,Large,"Humane Society of Houston County, Inc",GA553,31028,5,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
114,70280385,Terrier,False,Adult,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,4,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
115,70278802,Mixed Breed,False,Young,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,5,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
116,70278692,Mixed Breed,False,Young,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,5,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
