,pet_id,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,fee_waived,pet_location,characteristics,house_trained,health,adoption_fee,clean_pet_names
12,73656126,Shepherd,Mixed Breed,True,Young,Female,Large,Black,Brown / Chocolate,Medium,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,6,Unknown,Unknown,True,False,"Atlanta, GA","Affectionate, Curious, Friendly, Gentle, Independent, Playful, Quiet, Smart, Loves, Loves kisses, Sweet, Funny",Yes,"Vaccinations up to date, spayed / neutered.",250,Magpie
13,73655911,Mixed Breed,None,True,Young,Male,Large,Golden,None,Short,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,5,Unknown,False,True,False,"Atlanta, GA","Friendly, Loyal, Loves, Affectionate, Gentle, Smart, Sweet, Submissive, Likes Car, Shy",Yes,"Vaccinations up to date, spayed / neutered.",250,Ariel
14,73655808,Mixed Breed,None,True,Baby,Male,Medium,White / Cream,None,Medium,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,5,True,True,True,False,"Atlanta, GA","Affectionate, Loves, Playful, Friendly, Gentle, Smart, Funny, Snuggler, Sweet, Loves Water",N/A,Vaccinations up to date.,325,Blanco
15,73655673,Shepherd,None,True,Young,Female,Medium,Black,Brown / Chocolate,Medium,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,4,True,Unknown,True,False,"Atlanta, GA","Friendly, Loyal, Loves, Affectionate, Gentle, Smart, Sweet, Leash Trained, Playful",N/A,"Vaccinations up to date, spayed / neutered.",250,Abby
16,73653247,Staffordshire Bull Terrier,Mixed Breed,True,Young,Male,Medium,Apricot / Beige,None,Short,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,4,Unknown,False,True,False,"Atlanta, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Athletic, Funny, Curious, Protective, Couch potato, Loves Kisses, Sweet, Loves Music",Yes,"Vaccinations up to date, spayed / neutered.",250,Petey
17,73652707,Staffordshire Bull Terrier,Mixed Breed,True,Young,Male,Medium,White / Cream,Brindle,Short,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,5,True,Unknown,True,False,"Atlanta, GA","Affectionate, Athletic, Friendly, Funny, Gentle, Independent, Playful, Quiet, Smart, Loves Kisses, Sweet, Curious",Yes,"Vaccinations up to date, spayed / neutered.",250,Wiler
18,73643686,Shepherd,None,True,Adult,Female,Medium,Black,Golden,Medium,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,6,True,False,True,False,"Atlanta, GA","Athletic, Affectionate, Loves, Sweet, Energetic, Fetcher, Playful",Yes,"Vaccinations up to date, spayed / neutered.",250,Emma
19,73641964,Mastiff,None,False,Adult,Female,Large,Golden,White / Cream,Short,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,6,Unknown,False,False,False,"Atlanta, GA","Affectionate, Athletic, Curious, Friendly, Funny, Loves, Playful, Independent, Goofy, Sweet",Yes,"Vaccinations up to date, spayed / neutered.",250,Aunt
20,73641063,Treeing Walker Coonhound,Black Mouth Cur,True,Young,Female,Medium,Brindle,Golden,Short,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,6,True,False,True,False,"Atlanta, GA","Affectionate, Playful, Loves, Friendly, Gentle, Loyal, Funny, Snuggler, Sweet, Patient, Crate Trained, Leash Trained, Smart",Yes,"Vaccinations up to date, spayed / neutered.",250,Eleanor
21,73641019,Mixed Breed,None,True,Adult,Female,Medium,Black,White / Cream,Short,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,6,Unknown,Unknown,True,False,"Atlanta, GA","Affectionate, Gentle, Smart, Friendly, Playful, Loves, Couch, Sweet, Cuddle, Laid Back, Snuggle",Yes,"Vaccinations up to date, spayed / neutered.",250,Moochie
22,73630373,Australian Kelpie,Mixed Breed,True,Adult,Female,Medium,Black,White / Cream,Medium,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,6,True,False,True,False,"Atlanta, GA","Affectionate, Athletic, Friendly, Funny, Gentle, Loyal, Playful, Quiet, Smart, Loves, Loves kisses, Sweet, Very Loving",Yes,"Vaccinations up to date, spayed / neutered.",250,Faith
23,73629938,Mixed Breed,None,True,Young,Male,Medium,Black,White / Cream,Short,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,4,True,True,True,False,"Atlanta, GA","Affectionate, Funny, Gentle, Loves, Friendly, Playful, Snuggle, Lover Boy",Yes,Vaccinations up to date.,325,Tuck
24,73571660,Mixed Breed,None,False,Adult,Female,Medium,Unknown,None,Unknown,Rescue Coop,SC566,30315,4,Unknown,False,False,False,"ATLANTA, GA","Affectionate, Brave, Friendly, Loves, Loyal",N/A,"Vaccinations up to date, spayed / neutered.",,Bella
25,73557482,Mixed Breed,None,False,Adult,Female,Medium,Unknown,None,Unknown,Rescue Coop,SC566,30315,5,True,Unknown,True,False,"ATLANTA, GA","Affectionate, Gentle, Quiet, Friendly",Yes,"Vaccinations up to date, spayed / neutered.",,Nelly
26,73555918,American Staffordshire Terrier,None,True,Adult,Male,Medium,Unknown,None,Unknown,Rescue Coop,SC566,30315,4,True,Unknown,True,False,"ATLANTA, GA","Affectionate, Brave, Gentle, Loyal, Loves, Quiet",N/A,"Vaccinations up to date, spayed / neutered.",,Shadow
27,72521392,Pit Bull Terrier,Labrador Retriever,True,Young,Male,Medium,"Tricolor (Brown, Black, & White)",None,Unknown,SNARR Northeast,NY1298,30315,6,True,Unknown,True,False,"Atlanta, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",475,Rupert
28,72494683,Pit Bull Terrier,Labrador Retriever,True,Adult,Female,Medium,Black,White / Cream,Short,SNARR Northeast,NY1298,30315,6,True,Unknown,True,False,"Atlanta, GA","Friendly, Playful, , Affectionate",Yes,"Vaccinations up to date, spayed / neutered.",300,Jewel
29,72494667,Pit Bull Terrier,None,True,Adult,Male,Medium,"Tricolor (Brown, Black, & White)",None,Unknown,SNARR Northeast,NY1298,30315,12,True,False,True,False,"Atlanta, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",400,Cosmo
