pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health
72189215,Jackie,Husky,,False,Adult,Female,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,,,,,False,"Eastman, GA",N/A,N/A,Spayed / neutered.
72189214,Scooby,Jack Russell Terrier,,True,Young,Male,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,True,,True,,False,"Eastman, GA",N/A,N/A,Spayed / neutered.
70789208,Diamond ,American Bulldog,,False,Adult,Female,Large,,,Short,Island Breeze Dog Rescue,GA1038,31044,2,True,,True,,False,"Jeffersonville, GA","Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Funny, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered."
69627920,Helms,Pit Bull Terrier,,False,Adult,Female,Large,,,Short,Island Breeze Dog Rescue,GA1038,31044,1,True,,True,,False,"Jeffersonville, GA","Friendly, Gentle, Playful, Affectionate, Smart, Curious, Athletic, Protective, Quiet, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered."
69618164,Richard,Mixed Breed,,True,Adult,Male,Medium,Yellow / Tan / Blond / Fawn,,,Island Breeze Dog Rescue,GA1038,31044,4,True,,True,,False,"Jeffersonville, GA","Friendly, Affectionate, Playful, Gentle, Curious, Loyal, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered."
73763738,Shyanne,Chihuahua,,True,Senior,Female,Small,Brown / Chocolate,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,4,False,,True,,False,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, special needs. A collapsed trachea which requires lifelong medication."
73526806,Hiccup,Yorkshire Terrier,,True,Senior,Male,Small,,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,True,True,True,,False,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered, special needs. Hiccup is a tripod."
73106669,Maximilian,Great Pyrenees,Labrador Retriever,True,Adult,Male,Large,White / Cream,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,True,False,True,,False,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
72247278,Ember,Labrador Retriever,,True,Adult,Female,Large,,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,,True,False,,False,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered, special needs. Ember is a hospice baby. She has a mass in her abdomen. She's heartworm positive. She's currently undergoing treatment. Treatment will be covered by Paws if adopted."
71873444,Hardy,Hound,American Bully,True,Baby,Male,Large,Brown / Chocolate,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,True,,,,False,"WARNER ROBINS, GA",N/A,N/A,Vaccinations up to date.
