pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health,adoption_fee
71803609,TJ,Pit Bull Terrier,Great Dane,TRUE,Adult,Male,Large,"Tricolor (Brown, Black, & White)",,,Paws in Middle Georgia Animal Rescue,GA1028,31093,4,TRUE,FALSE,TRUE,,FALSE,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",$150.00 
69123537,Oatmeal Creme Pie,Terrier,,TRUE,Adult,Female,Medium,,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,FALSE,TRUE,TRUE,,FALSE,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered, special needs. Blind Heartworm +.",.
73604103,Wanda,Black Labrador Retriever,,TRUE,Young,Female,Large,Black,,Short,"Humane Society of Houston County, Inc",GA553,31028,1,,,,,FALSE,"Centerville, GA",N/A,N/A,Vaccinations up to date.,N/A
73589335,Kicks,Brittany Spaniel,Border Collie,TRUE,Young,Male,Large,Black,White / Cream,Long,"Humane Society of Houston County, Inc",GA553,31028,2,TRUE,,TRUE,,FALSE,"Centerville, GA",N/A,Yes,Vaccinations up to date.,N/A
73575673,Honey,Dachshund,,TRUE,Young,Female,Small,Yellow / Tan / Blond / Fawn,,Short,"Humane Society of Houston County, Inc",GA553,31028,2,TRUE,,TRUE,,FALSE,"Centerville, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
73510774,Sally,Labrador Retriever,,TRUE,Baby,Female,Large,Black,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,4,TRUE,TRUE,TRUE,,FALSE,"Centerville, GA",N/A,Yes,Vaccinations up to date.,N/A
73510633,Gilly,Labrador Retriever,,TRUE,Baby,Female,Large,Black,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,4,TRUE,TRUE,TRUE,,FALSE,"Centerville, GA",N/A,Yes,Vaccinations up to date.,N/A
73406310,Bear,Jack Russell Terrier,,FALSE,Adult,Male,Small,Black,Yellow / Tan / Blond / Fawn,Short,"Humane Society of Houston County, Inc",GA553,31028,3,FALSE,FALSE,FALSE,FALSE,FALSE,"Centerville, GA","Playful, Protective, Curious, Athletic, Smart, loving, active, Friendly",N/A,"Vaccinations up to date, spayed / neutered.",N/A
73251696,Tarzan,Black Labrador Retriever,,TRUE,Young,Male,Medium,Black,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,3,TRUE,,TRUE,,FALSE,"Centerville, GA",N/A,N/A,Vaccinations up to date.,N/A
72603600,Miss Savannah,Mixed Breed,,FALSE,Baby,Female,Medium,White / Cream,Black,Medium,"Humane Society of Houston County, Inc",GA553,31028,1,,,,,FALSE,"Centerville, GA",N/A,N/A,Vaccinations up to date.,N/A
72576278,Twix,Mixed Breed,,FALSE,Baby,Male,Medium,Brindle,,Short,"Humane Society of Houston County, Inc",GA553,31028,4,TRUE,,TRUE,,FALSE,"Centerville, GA",N/A,N/A,Vaccinations up to date.,N/A
